metric,class_idx,mean_certain,std_certain,mean_uncertain,std_uncertain,u_stat,p_value,eta_squared
iou_mean,0,0.1716485034403679,0.02380442814037735,0.15272928597361587,0.03741911050486581,3230.0,0.0036336531101698517,0.08608028314755538
iou_mean,1,0.19363797562714766,0.03409302147845608,0.16198848935481908,0.031718276683983374,3715.0,1.2858391729398598e-06,0.16701051559170707
iou_mean,2,0.18447545847825983,0.02876565275708232,0.16521349643253783,0.029840053202909233,3398.0,0.0003460473647833274,0.08856966790247009
iou_mean,3,0.18351552134380364,0.032611692275477215,0.15673078770766374,0.03753536648577259,3441.5,0.0001757523620354687,0.11914646282890197
iou_mean,4,0.18483109854058163,0.029104277637417825,0.15782038753055652,0.033597460013202095,3630.5,6.636911216863586e-06,0.14697570774617122
iou_mean,5,0.15743737332313118,0.03288135451106344,0.14439015873869926,0.03656731520965569,3064.5,0.024542962722268344,0.03141041986828539
iou_mean,6,0.1260936275760259,0.03327917789215318,0.11850717977310757,0.03565611120331006,2856.5,0.15581204310495458,0.0
iou_mean,7,0.18350817826875737,0.02321497134421012,0.15757554936507626,0.02920956350621632,3742.0,7.437312465857303e-07,0.1884229976746802
iou_mean,8,0.13906782575740156,0.03076317392140449,0.13679231014716262,0.044857471085373496,2534.5,0.8921774116070844,0.0
iou_mean,9,0.18496495766264204,0.028955825553280534,0.15451325463340043,0.029499226528398988,3842.0,8.882049205422742e-08,0.19530738126408187
iou_mean,10,0.1529356425258042,0.030256506669838534,0.13928566432482392,0.03135687513050536,3118.5,0.013745814470252624,0.04227314960882587
iou_mean,11,0.1598381877258883,0.035902680951721236,0.16651212953453112,0.037755280017940096,2286.0,0.39467337855630014,0.0
iou_mean,12,0.14135587091266544,0.029907729914159704,0.15003802439918246,0.038184214851290824,2053.0,0.07506114937122307,0.0
iou_mean,13,0.11929072930549546,0.03691441618170022,0.12333685086510218,0.032069533378092846,2269.5,0.359165313056227,0.0
iou_median,0,0.12445073051884092,0.03227197731154185,0.202546398936406,0.06855614620657498,758.5,3.8946784926424636e-12,0.3747817676560744
iou_median,1,0.2129080289724033,0.046864538846598046,0.23672278467686061,0.06795424384127462,1847.0,0.00928563579907207,0.04027238663784189
iou_median,2,0.15625570607695757,0.039017421385552996,0.21258759087706586,0.06926559192583082,1161.0,9.488525197133104e-08,0.21244517281382383
iou_median,3,0.2615348940183924,0.04129772256268186,0.2406995524581493,0.05369783687833732,3085.5,0.019687914873312867,0.04395707662897823
iou_median,4,0.17783339588584213,0.042994008272804515,0.22115642900632007,0.06200633478157419,1459.5,3.380134600075021e-05,0.1423012752572794
iou_median,5,0.17288363218841432,0.04654845638550073,0.24203007456021905,0.06251827574141758,985.0,1.5609477687386371e-09,0.27888149198244744
iou_median,6,0.21861862081268704,0.0632785916784089,0.17897434927947212,0.06187095517168583,3391.0,0.00038493180329528503,0.08132305946368142
iou_median,7,0.14332950820047893,0.03840565782561252,0.21269807519377576,0.07621488715789534,1141.5,6.163292192963975e-08,0.26807721155982556
iou_median,8,0.2337907145998161,0.06251790469784309,0.21899442659166282,0.050273399355206666,2838.0,0.17845660035836808,0.0
iou_median,9,0.17109969991044455,0.048345276811630575,0.20554793878520786,0.059087892351087426,1664.0,0.0008655906612644997,0.0883239927489241
iou_median,10,0.1861808404003855,0.04067897255192707,0.2472321473188135,0.05902512799074361,1057.5,8.983156561101276e-09,0.26781027211514297
iou_median,11,0.17964812829100077,0.04612852010549888,0.2147302940521363,0.061882729462731774,1649.0,0.0006970636652106532,0.09213305998323044
iou_median,12,0.25217870176512025,0.04093446097318137,0.24136040095385106,0.06318078445165433,2607.5,0.6696841275425157,0.0
iou_median,13,0.24172357424057686,0.05752716129193252,0.17574685071163232,0.05614248824913918,3938.5,9.870316701913027e-09,0.22899277227576867
