metric,class_idx,mean_confident_correct,std_confident_correct,mean_confident_incorrect,std_confident_incorrect,u_stat,p_value,eta_squared
iou_mean,0,0.17320649754635387,0.024037766575874107,0.17009050933438183,0.023465563810741767,1337.0,0.5509633372106495,0.0
iou_mean,1,0.20070725519750587,0.03055984904336658,0.18656869605678936,0.03592790595372644,1559.5,0.033152210126285296,0.04299513630559435
iou_mean,2,0.1805209965859194,0.033117553517142455,0.18842992037060025,0.022953815987877393,1148.0,0.4840965523989884,0.0
iou_mean,3,0.18559004966749756,0.031037595819923314,0.1814409930201097,0.03398683945777104,1366.5,0.42388747130433146,0.0
iou_mean,4,0.19008966578283876,0.0246833286627384,0.1795725312983246,0.032086542051713164,1455.0,0.15860283312349666,0.0
iou_mean,5,0.1540284332252762,0.03424027956098206,0.1608463134209861,0.031092257225372556,1091.5,0.2760538797066716,0.0
iou_mean,6,0.12836004500067152,0.0335418257245327,0.12382721015138033,0.03285848434628042,1326.5,0.6003204515136811,0.0
iou_mean,7,0.18806390649218174,0.019002171823077996,0.1789524500453329,0.02598611043884412,1548.5,0.039935062594409765,0.03851051371331202
iou_mean,8,0.1393321170032159,0.02762179874653108,0.1388035345115872,0.033610151349228824,1249.0,0.9972497444694224,0.0
iou_mean,9,0.1841010036586369,0.029909516793353567,0.18582891166664728,0.027942935405752475,1230.5,0.8957881570375995,0.0
iou_mean,10,0.1520198887670153,0.031622387805187266,0.15385139628459307,0.028796870860022958,1271.0,0.8876118580111774,0.0
iou_mean,11,0.1557995420780216,0.03496722926056314,0.16387683337375494,0.03636862053396205,1119.5,0.3701463440843221,0.0
iou_mean,12,0.1420192955310216,0.02884364439043505,0.14069244629430927,0.030921004690441234,1342.5,0.5259248329286756,0.0
iou_mean,13,0.11480347755109348,0.03475084010510213,0.12377798105989746,0.03843769633376069,1132.0,0.41791669918245433,0.0
iou_median,0,0.13013906598382202,0.027068626214638156,0.11876239505385985,0.03585437481425696,1574.5,0.02550779404555715,0.031068425912269913
iou_median,1,0.2167784051475604,0.0428892698851218,0.20903765279724607,0.05023067695995476,1370.0,0.4100452817469036,0.0
iou_median,2,0.16461269817376512,0.03934803941743023,0.14789871398015003,0.03683437936694151,1567.0,0.02911687421579375,0.04587571593484121
iou_median,3,0.26070611760108586,0.03188168048718562,0.262363670435699,0.04892022573886721,1150.0,0.4927540491381499,0.0
iou_median,4,0.179272317355641,0.031392931695355786,0.17639447441604314,0.0520318397166792,1340.0,0.5372343423424317,0.0
iou_median,5,0.17035729196532334,0.03576324724558649,0.17540997241150547,0.05515199851638346,1283.5,0.8200364436996199,0.0
iou_median,6,0.2285159893617064,0.06467823003329189,0.2087212522636677,0.060242601877541276,1497.0,0.08925478312056145,0.0
iou_median,7,0.1531455172574811,0.024669258438324473,0.1335134991434767,0.04635416622618643,1659.0,0.004860413064809047,0.06532500991952556
iou_median,8,0.25700579899642073,0.050859895205671184,0.21057563020321138,0.06443886706175378,1776.0,0.0002915412396151813,0.13788966150309
iou_median,9,0.16792029482925666,0.04031185994257269,0.1742791049916325,0.05503878900026967,1245.0,0.9752518435738073,0.0
iou_median,10,0.18186190541060718,0.03355214194403712,0.19049977539016374,0.04633038946346334,1127.0,0.3983911792354218,0.0
iou_median,11,0.17571420291173578,0.030615195931532054,0.1835820536702657,0.05733619253614145,1275.5,0.8631638855749967,0.0
iou_median,12,0.25012637357148476,0.04321398345961883,0.25423102995875574,0.03841077611625188,1259.0,0.9532727267129067,0.0
iou_median,13,0.24402037569868415,0.06773771246357246,0.23942677278246957,0.04494218829721678,1323.0,0.6172124317974662,0.0
